"sales_date";"daily_revenue";"total_orders";"avg_order_value"
2010-06-04;1519.9620000000002;4;379.99050000000005
2010-06-05;1519.962;4;379.9905
2010-06-06;719.9820000000001;2;359.99100000000004
2010-06-07;799.98;2;399.99
2010-06-08;399.99;1;399.99
2010-06-09;759.981;2;379.9905
2010-06-10;799.98;2;399.99
2010-06-11;399.99;1;399.99
2010-06-12;1919.952;5;383.9904
2010-06-13;799.98;2;399.99
2010-06-14;2679.933;7;382.8475714285714
2010-06-15;2679.933;7;382.8475714285714
2010-06-16;1559.961;4;389.99025
2010-06-17;1599.96;4;399.99
2010-06-18;1119.972;3;373.324
2010-06-19;399.99;1;399.99
2010-06-20;399.99;1;399.99
2010-06-21;3119.9219999999996;8;389.99024999999995
2010-06-22;1919.952;5;383.9904
2010-06-24;759.981;2;379.9905
2010-06-25;1599.96;4;399.99
2010-06-26;1559.961;4;389.99025
2010-06-27;1879.953;5;375.9906
2010-06-28;399.99;1;399.99
2010-06-29;1199.97;3;399.99
2010-06-30;2159.946;6;359.991
2010-07-01;399.99;1;399.99
2010-07-02;1959.951;5;391.9902
2010-07-03;639.984;2;319.992
2010-07-04;2359.941;6;393.32349999999997
2010-07-05;1879.953;5;375.9906
2010-07-06;1879.953;5;375.9906
2010-07-07;2319.942;6;386.657
2010-07-08;2679.933;7;382.8475714285714
2010-07-09;1199.97;3;399.99
2010-07-10;1159.971;3;386.657
2010-07-11;1839.9540000000002;5;367.99080000000004
2010-07-12;1519.962;4;379.9905
2010-07-13;799.98;2;399.99
2010-07-14;719.982;2;359.991
2010-07-15;1159.971;3;386.657
2010-07-16;1119.972;3;373.324
2010-07-17;799.98;2;399.99
2010-07-18;799.98;2;399.99
2010-07-19;1599.96;4;399.99
2010-07-20;759.981;2;379.9905
2010-07-21;1119.972;3;373.324
2010-07-22;1199.97;3;399.99
2010-07-23;1119.972;3;373.324
2010-07-24;2279.943;6;379.99050000000005
2010-07-25;2319.942;6;386.657
2010-07-26;1119.972;3;373.324
2010-07-27;1119.9720000000002;3;373.32400000000007
2010-07-28;1199.97;3;399.99
2010-07-29;1199.97;3;399.99
2010-07-30;1159.971;3;386.657
2010-07-31;1199.97;3;399.99
2010-08-01;799.98;2;399.99
2010-08-02;1199.97;3;399.99
2010-08-03;1199.97;3;399.99
2010-08-04;399.99;1;399.99
2010-08-05;1559.961;4;389.99025
2010-08-06;1119.9720000000002;3;373.32400000000007
2010-08-07;1599.96;4;399.99
2010-08-08;959.9760000000001;3;319.992
2010-08-09;1959.951;5;391.9902
2010-08-11;2199.945;6;366.6575
2010-08-12;1519.962;4;379.9905
2010-08-13;1519.962;4;379.9905
2010-08-14;1959.951;5;391.9902
2010-08-15;2319.942;6;386.657
2010-08-16;759.981;2;379.9905
2010-08-17;1199.97;3;399.99
2010-08-18;319.992;1;319.992
2010-08-19;799.98;2;399.99
2010-08-20;719.9820000000001;2;359.99100000000004
2010-08-21;759.981;2;379.9905
2010-08-22;719.982;2;359.991
2010-08-23;399.99;1;399.99
2010-08-24;799.98;2;399.99
2010-08-25;399.99;1;399.99
2010-08-26;1919.952;5;383.9904
2010-08-27;1959.951;5;391.9902
2010-08-28;2519.9370000000004;7;359.99100000000004
2010-08-29;1159.971;3;386.657
2010-08-30;799.98;2;399.99
2010-08-31;1479.963;4;369.99075
2010-09-01;2359.941;6;393.32349999999997
2010-09-02;1079.973;3;359.991
2010-09-03;1199.97;3;399.99
2010-09-04;799.98;2;399.99
2010-09-05;359.99100000000004;1;359.99100000000004
2010-09-06;1479.963;4;369.99075
2010-09-07;2399.94;6;399.99
2010-09-08;799.98;2;399.99
2010-09-09;319.992;1;319.992
2010-09-10;1439.964;4;359.991
2010-09-11;1119.9720000000002;3;373.32400000000007
2010-09-12;1799.955;5;359.991
2010-09-13;799.98;2;399.99
2010-09-14;1159.971;3;386.657
2010-09-15;1079.973;3;359.991
2010-09-16;759.981;2;379.9905
2010-09-17;719.982;2;359.991
2010-09-18;1599.96;4;399.99
2010-09-19;1959.951;5;391.9902
2010-09-20;1559.961;4;389.99025
2010-09-21;719.9820000000001;2;359.99100000000004
2010-09-22;759.981;2;379.9905
2010-09-23;1159.971;3;386.657
2010-09-24;1559.961;4;389.99025
2010-09-25;399.99;1;399.99
2010-09-26;1559.961;4;389.99025
2010-09-27;1159.971;3;386.657
2010-09-28;1119.972;3;373.324
2010-09-29;399.99;1;399.99
2010-09-30;359.99100000000004;1;359.99100000000004
2010-10-01;319.992;1;319.992
2010-10-02;759.981;2;379.9905
2010-10-03;1119.972;3;373.324
2010-10-04;679.9830000000001;2;339.99150000000003
2010-10-05;639.984;2;319.992
2010-10-06;399.99;1;399.99
2010-10-07;719.982;2;359.991
2010-10-08;1119.972;3;373.324
2010-10-09;2239.944;6;373.324
2010-10-10;1039.9740000000002;3;346.6580000000001
2010-10-11;1079.973;3;359.991
2010-10-12;1599.96;4;399.99
2010-10-13;399.99;1;399.99
2010-10-14;719.982;2;359.991
2010-10-15;759.981;2;379.9905
2010-10-16;759.981;2;379.9905
2010-10-17;799.98;2;399.99
2010-10-18;1399.9650000000001;4;349.99125000000004
2010-10-19;1559.961;4;389.99025
2010-10-20;1559.961;4;389.99025
2010-10-21;799.98;2;399.99
2010-10-22;2319.942;6;386.657
2010-10-23;2679.933;7;382.8475714285714
2010-10-24;399.99;1;399.99
2010-10-25;399.99;1;399.99
2010-10-26;1199.97;3;399.99
2010-10-27;399.99;1;399.99
2010-10-28;799.98;2;399.99
2010-10-29;1119.972;3;373.324
2010-10-30;2359.941;6;393.32349999999997
2010-10-31;399.99;1;399.99
2010-11-01;799.98;2;399.99
2010-11-02;719.982;2;359.991
2010-11-03;1479.963;4;369.99075
2010-11-05;399.99;1;399.99
2010-11-06;1119.972;3;373.324
2010-11-07;1119.972;3;373.324
2010-11-08;319.992;1;319.992
2010-11-09;799.98;2;399.99
2010-11-10;759.981;2;379.9905
2010-11-11;359.99100000000004;1;359.99100000000004
2010-11-12;399.99;1;399.99
2010-11-14;799.98;2;399.99
2010-11-16;1199.97;3;399.99
2010-11-17;1199.97;3;399.99
2010-11-18;719.982;2;359.991
2010-11-19;359.99100000000004;1;359.99100000000004
2010-11-20;1159.971;3;386.657
2010-11-22;319.992;1;319.992
2010-11-23;1199.97;3;399.99
2010-11-24;2159.946;6;359.991
2010-11-25;759.981;2;379.9905
2010-11-26;399.99;1;399.99
2010-11-27;1119.972;3;373.324
2010-11-28;1759.956;5;351.9912
2010-11-30;1599.96;4;399.99
2010-12-01;319.992;1;319.992
2010-12-02;719.9820000000001;2;359.99100000000004
2010-12-03;399.99;1;399.99
2010-12-04;399.99;1;399.99
2010-12-05;1399.965;4;349.99125
2010-12-06;1519.962;4;379.9905
2010-12-07;2799.9300000000003;7;399.99000000000007
2010-12-08;719.982;2;359.991
2010-12-09;759.981;2;379.9905
2010-12-10;399.99;1;399.99
2010-12-11;799.98;2;399.99
2010-12-14;719.9820000000001;2;359.99100000000004
2010-12-15;1039.9740000000002;3;346.6580000000001
2010-12-16;399.99;1;399.99
2010-12-17;319.992;1;319.992
2010-12-18;399.99;1;399.99
2010-12-20;399.99;1;399.99
2010-12-21;399.99;1;399.99
2010-12-23;799.98;2;399.99
2010-12-24;359.99100000000004;1;359.99100000000004
2010-12-25;399.99;1;399.99
2010-12-26;399.99;1;399.99
2010-12-27;799.98;2;399.99
2010-12-28;679.9830000000001;2;339.99150000000003
2010-12-29;399.99;1;399.99
2010-12-30;399.99;1;399.99
2010-12-31;319.992;1;319.992
2011-01-01;399.99;1;399.99
2011-01-02;359.99100000000004;1;359.99100000000004
2011-01-03;719.982;2;359.991
2011-01-04;1919.972;3;639.9906666666667
2011-01-05;399.99;1;399.99
2011-01-06;1199.98;2;599.99
2011-01-07;799.99;1;799.99
2011-01-09;1679.9750000000001;3;559.9916666666667
2011-01-10;1919.971;3;639.9903333333333
2011-01-11;1799.964;4;449.991
2011-01-12;1199.98;2;599.99
2011-01-13;799.99;1;799.99
2011-01-14;719.991;1;719.991
2011-01-15;1919.962;4;479.9905
2011-01-17;359.99100000000004;1;359.99100000000004
2011-01-18;1039.982;2;519.991
2011-01-19;2279.962;4;569.9905
2011-01-20;2239.9629999999997;4;559.9907499999999
2011-01-21;399.99;1;399.99
2011-01-22;1599.98;2;799.99
2011-01-23;2399.96;4;599.99
2011-01-24;759.981;2;379.9905
2011-01-25;1439.972;3;479.99066666666664
2011-01-26;3599.945;6;599.9908333333334
2011-01-27;2079.964;4;519.991
2011-01-28;759.981;2;379.9905
2011-01-29;1119.981;2;559.9905
2011-01-30;1039.982;2;519.991
2011-01-31;679.9830000000001;2;339.99150000000003
2011-02-01;1519.962;4;379.9905
2011-02-02;1119.972;3;373.324
2011-02-03;399.99;1;399.99
2011-02-04;2159.955;5;431.991
2011-02-05;359.99100000000004;1;359.99100000000004
2011-02-06;1199.98;2;599.99
2011-02-07;719.991;1;719.991
2011-02-08;1119.972;3;373.324
2011-02-09;2799.96;4;699.99
2011-02-10;1119.982;2;559.991
2011-02-11;359.99100000000004;1;359.99100000000004
2011-02-13;399.99;1;399.99
2011-02-14;639.9920000000001;1;639.9920000000001
2011-02-16;1199.98;2;599.99
2011-02-17;1959.961;4;489.99025
2011-02-18;1039.982;2;519.991
2011-02-19;3039.943;6;506.6571666666667
2011-02-20;799.99;1;799.99
2011-02-21;799.98;2;399.99
2011-02-22;399.99;1;399.99
2011-02-23;1519.972;3;506.6573333333333
2011-02-24;1999.97;3;666.6566666666666
2011-02-25;799.98;2;399.99
2011-02-27;799.99;1;799.99
2011-02-28;1199.98;2;599.99
2011-03-01;2319.962;4;579.9905
2011-03-02;1999.97;3;666.6566666666666
2011-03-03;799.98;2;399.99
2011-03-04;1999.96;4;499.99
2011-03-05;799.99;1;799.99
2011-03-06;1199.98;2;599.99
2011-03-07;1199.98;2;599.99
2011-03-08;359.99100000000004;1;359.99100000000004
2011-03-09;1959.961;4;489.99025
2011-03-10;1479.963;4;369.99075
2011-03-11;1919.971;3;639.9903333333333
2011-03-12;3039.9439999999995;6;506.65733333333327
2011-03-13;1519.972;3;506.6573333333333
2011-03-14;2279.962;4;569.9905
2011-03-15;2759.941;6;459.99016666666665
2011-03-16;3039.9620000000004;4;759.9905000000001
2011-03-17;799.98;2;399.99
2011-03-18;2879.945;6;479.99083333333334
2011-03-19;1519.981;2;759.9905
2011-03-20;799.99;1;799.99
2011-03-21;2919.955;5;583.991
2011-03-22;639.9920000000001;1;639.9920000000001
2011-03-23;719.991;1;719.991
2011-03-25;1519.981;2;759.9905
2011-03-26;2959.954;5;591.9908
2011-03-27;1999.97;3;666.6566666666666
2011-03-29;2719.951;5;543.9902
2011-03-30;2239.944;6;373.324
2011-03-31;399.99;1;399.99
2011-04-01;2279.943;6;379.99050000000005
2011-04-02;1559.961;4;389.99025
2011-04-03;399.99;1;399.99
2011-04-04;2239.944;6;373.324
2011-04-05;799.98;2;399.99
2011-04-06;1039.974;3;346.65799999999996
2011-04-07;1559.961;4;389.99025
2011-04-08;2359.941;6;393.32349999999997
2011-04-09;1159.971;3;386.657
2011-04-10;399.99;1;399.99
2011-04-11;1199.97;3;399.99
2011-04-12;1759.956;5;351.9912
2011-04-13;399.99;1;399.99
2011-04-14;399.99;1;399.99
2011-04-15;679.9830000000001;2;339.99150000000003
2011-04-16;359.99100000000004;1;359.99100000000004
2011-04-17;2319.942;6;386.657
2011-04-18;1199.97;3;399.99
2011-04-19;1599.96;4;399.99
2011-04-20;399.99;1;399.99
2011-04-21;1879.953;5;375.9906
2011-04-22;799.98;2;399.99
2011-04-23;1599.96;4;399.99
2011-04-24;1119.9720000000002;3;373.32400000000007
2011-04-25;1519.962;4;379.9905
2011-04-26;1199.97;3;399.99
2011-04-27;1199.97;3;399.99
2011-04-28;1599.96;4;399.99
2011-04-29;3839.9039999999995;10;383.99039999999997
2011-04-30;2599.935;7;371.4192857142857
2011-05-01;1159.971;3;386.657
2011-05-02;799.98;2;399.99
2011-05-03;1199.97;3;399.99
2011-05-04;1479.963;4;369.99075
2011-05-05;1599.96;4;399.99
2011-05-06;1919.952;5;383.9904
2011-05-07;2719.932;7;388.56171428571423
2011-05-08;2399.94;6;399.99
2011-05-09;1119.972;3;373.324
2011-05-10;1399.9650000000001;4;349.99125000000004
2011-05-11;1599.96;4;399.99
2011-05-12;1559.961;4;389.99025
2011-05-13;1999.95;5;399.99
2011-05-14;1839.954;5;367.9908
2011-05-15;799.98;2;399.99
2011-05-16;2399.94;6;399.99
2011-05-17;1199.97;3;399.99
2011-05-18;2199.945;6;366.6575
2011-05-19;3159.9210000000003;8;394.99012500000003
2011-05-20;2399.94;6;399.99
2011-05-21;399.99;1;399.99
2011-05-22;1119.972;3;373.324
2011-05-23;1559.961;4;389.99025
2011-05-24;1839.954;5;367.9908
2011-05-25;759.981;2;379.9905
2011-05-26;1599.96;4;399.99
2011-05-27;719.982;2;359.991
2011-05-28;799.98;2;399.99
2011-05-29;3359.916;9;373.324
2011-05-30;799.98;2;399.99
2011-05-31;1119.9720000000002;3;373.32400000000007
2011-06-01;2239.944;6;373.324
2011-06-02;799.98;2;399.99
2011-06-03;2759.9309999999996;7;394.2758571428571
2011-06-04;1159.971;3;386.657
2011-06-05;4199.8949999999995;11;381.8086363636363
2011-06-06;399.99;1;399.99
2011-06-07;359.99100000000004;1;359.99100000000004
2011-06-08;2239.944;6;373.324
2011-06-09;1159.971;3;386.657
2011-06-10;3039.924;8;379.9905
2011-06-11;2399.94;6;399.99
2011-06-12;5159.870999999999;13;396.91315384615376
2011-06-13;719.982;2;359.991
2011-06-14;1919.9520000000002;5;383.9904
2011-06-15;799.98;2;399.99
2011-06-16;399.99;1;399.99
2011-06-17;799.98;2;399.99
2011-06-18;1359.9660000000001;4;339.99150000000003
2011-06-19;1159.971;3;386.657
2011-06-20;3319.9169999999995;9;368.8796666666666
2011-06-21;2399.94;6;399.99
2011-06-22;2359.941;6;393.32349999999997
2011-06-23;1599.96;4;399.99
2011-06-24;1479.963;4;369.99075
2011-06-25;1599.96;4;399.99
2011-06-26;3159.9209999999994;8;394.9901249999999
2011-06-27;1919.952;5;383.9904
2011-06-28;1159.971;3;386.657
2011-06-29;999.9750000000001;3;333.32500000000005
2011-06-30;3719.907;10;371.9907
2011-07-01;1199.97;3;399.99
2011-07-02;1159.971;3;386.657
2011-07-03;3759.906;10;375.9906
2011-07-04;1479.963;4;369.99075
2011-07-05;759.981;2;379.9905
2011-07-06;2759.9309999999996;7;394.2758571428571
2011-07-07;759.981;2;379.9905
2011-07-08;759.981;2;379.9905
2011-07-09;1199.97;3;399.99
2011-07-10;399.99;1;399.99
2011-07-11;1519.962;4;379.9905
2011-07-12;4759.8809999999985;12;396.6567499999999
2011-07-13;1879.953;5;375.9906
2011-07-14;399.99;1;399.99
2011-07-15;2319.942;6;386.657
2011-07-16;1519.962;4;379.9905
2011-07-17;2679.933;7;382.8475714285714
2011-07-18;799.98;2;399.99
2011-07-19;1559.961;4;389.99025
2011-07-20;1479.963;4;369.99075
2011-07-21;1959.951;5;391.9902
2011-07-22;399.99;1;399.99
2011-07-23;2359.941;6;393.32349999999997
2011-07-24;2359.941;6;393.32349999999997
2011-07-25;359.99100000000004;1;359.99100000000004
2011-07-26;1199.97;3;399.99
2011-07-27;2479.9380000000006;7;354.27685714285724
2011-07-28;2679.933;7;382.8475714285714
2011-07-29;1199.97;3;399.99
2011-07-30;1559.961;4;389.99025
2011-07-31;1879.953;5;375.9906
2011-08-01;1159.971;3;386.657
2011-08-02;1199.97;3;399.99
2011-08-03;1799.955;5;359.991
2011-08-04;3839.9039999999995;10;383.99039999999997
2011-08-05;1079.973;3;359.991
2011-08-06;1199.97;3;399.99
2011-08-07;1919.952;5;383.9904
2011-08-08;1599.96;4;399.99
2011-08-09;799.98;2;399.99
2011-08-10;1599.96;4;399.99
2011-08-11;1919.9520000000002;5;383.9904
2011-08-12;1079.973;3;359.991
2011-08-13;3679.9079999999994;10;367.9907999999999
2011-08-14;759.981;2;379.9905
2011-08-15;1439.964;4;359.991
2011-08-16;2319.942;6;386.657
2011-08-17;1199.97;3;399.99
2011-08-18;1479.963;4;369.99075
2011-08-19;3519.9119999999994;9;391.1013333333333
2011-08-20;1199.97;3;399.99
2011-08-21;1599.96;4;399.99
2011-08-22;1559.961;4;389.99025
2011-08-23;399.99;1;399.99
2011-08-24;1199.97;3;399.99
2011-08-25;2319.942;6;386.657
2011-08-26;1839.954;5;367.9908
2011-08-27;2639.934;7;377.1334285714286
2011-08-28;1559.961;4;389.99025
2011-08-29;2359.941;6;393.32349999999997
2011-08-30;2319.942;6;386.657
2011-08-31;1599.96;4;399.99
2011-09-01;3199.92;8;399.99
2011-09-02;399.99;1;399.99
2011-09-03;1119.972;3;373.324
2011-09-04;399.99;1;399.99
2011-09-05;2199.945;6;366.6575
2011-09-06;1119.972;3;373.324
2011-09-07;759.981;2;379.9905
2011-09-08;2359.941;6;393.32349999999997
2011-09-09;799.98;2;399.99
2011-09-10;1999.95;5;399.99
2011-09-11;1519.962;4;379.9905
2011-09-12;2319.942;6;386.657
2011-09-13;1519.962;4;379.9905
2011-09-14;1999.95;5;399.99
2011-09-15;1999.95;5;399.99
2011-09-16;2239.944;6;373.324
2011-09-17;359.99100000000004;1;359.99100000000004
2011-09-18;1959.951;5;391.9902
2011-09-19;2639.934;7;377.1334285714286
2011-09-20;1199.97;3;399.99
2011-09-21;2639.934;7;377.1334285714286
2011-09-22;1119.972;3;373.324
2011-09-23;1119.972;3;373.324
2011-09-24;1479.963;4;369.99075
2011-09-25;1999.95;5;399.99
2011-09-26;1159.971;3;386.657
2011-09-27;3559.910999999999;9;395.5456666666666
2011-09-28;759.981;2;379.9905
2011-09-29;2719.932;7;388.56171428571423
2011-09-30;1559.961;4;389.99025
2011-10-02;1119.972;3;373.324
2011-10-03;799.98;2;399.99
2011-10-04;799.98;2;399.99
2011-10-05;1519.962;4;379.9905
2011-10-06;319.992;1;319.992
2011-10-07;1199.97;3;399.99
2011-10-08;319.992;1;319.992
2011-10-10;1959.951;5;391.9902
2011-10-11;1519.962;4;379.9905
2011-10-12;1959.951;5;391.9902
2011-10-13;719.982;2;359.991
2011-10-14;799.98;2;399.99
2011-10-15;399.99;1;399.99
2011-10-16;1199.97;3;399.99
2011-10-17;1159.971;3;386.657
2011-10-18;1399.965;4;349.99125
2011-10-19;3359.9159999999993;9;373.3239999999999
2011-10-20;1079.973;3;359.991
2011-10-21;759.981;2;379.9905
2011-10-22;759.981;2;379.9905
2011-10-23;1519.962;4;379.9905
2011-10-24;2279.943;6;379.99050000000005
2011-10-25;1559.961;4;389.99025
2011-10-26;1199.97;3;399.99
2011-10-27;1519.962;4;379.9905
2011-10-28;799.98;2;399.99
2011-10-29;319.992;1;319.992
2011-10-30;2199.9449999999997;6;366.65749999999997
2011-10-31;399.99;1;399.99
2011-11-01;719.982;2;359.991
2011-11-02;1079.973;3;359.991
2011-11-03;1199.97;3;399.99
2011-11-04;799.98;2;399.99
2011-11-05;1439.964;4;359.991
2011-11-06;1079.973;3;359.991
2011-11-07;1199.97;3;399.99
2011-11-08;399.99;1;399.99
2011-11-09;799.98;2;399.99
2011-11-10;1519.962;4;379.9905
2011-11-11;399.99;1;399.99
2011-11-13;759.981;2;379.9905
2011-11-14;799.98;2;399.99
2011-11-15;1399.965;4;349.99125
2011-11-17;1119.972;3;373.324
2011-11-18;1879.953;5;375.9906
2011-11-19;2239.944;6;373.324
2011-11-20;359.99100000000004;1;359.99100000000004
2011-11-21;799.98;2;399.99
2011-11-22;799.98;2;399.99
2011-11-23;2559.9359999999997;7;365.7051428571428
2011-11-24;1119.972;3;373.324
2011-11-25;1559.961;4;389.99025
2011-11-26;399.99;1;399.99
2011-11-27;399.99;1;399.99
2011-11-28;679.9830000000001;2;339.99150000000003
2011-11-29;719.982;2;359.991
2011-11-30;1519.962;4;379.9905
2011-12-01;359.99100000000004;1;359.99100000000004
2011-12-02;759.981;2;379.9905
2011-12-04;359.99100000000004;1;359.99100000000004
2011-12-05;399.99;1;399.99
2011-12-06;319.992;1;319.992
2011-12-08;1079.973;3;359.991
2011-12-09;399.99;1;399.99
2011-12-10;399.99;1;399.99
2011-12-11;1199.97;3;399.99
2011-12-12;399.99;1;399.99
2011-12-13;319.992;1;319.992
2011-12-14;399.99;1;399.99
2011-12-15;1479.963;4;369.99075
2011-12-16;719.982;2;359.991
2011-12-17;719.982;2;359.991
2011-12-18;719.982;2;359.991
2011-12-19;399.99;1;399.99
2011-12-20;399.99;1;399.99
2011-12-21;1159.971;3;386.657
2011-12-22;759.981;2;379.9905
2011-12-24;799.98;2;399.99
2011-12-25;759.981;2;379.9905
2011-12-27;1119.972;3;373.324
2011-12-28;799.98;2;399.99
2011-12-29;1039.9740000000002;3;346.6580000000001
2011-12-30;719.982;2;359.991
2011-12-31;1199.97;3;399.99
2012-01-01;399.99;1;399.99
2012-01-03;719.982;2;359.991
2012-01-05;1519.962;4;379.9905
2012-01-06;359.99100000000004;1;359.99100000000004
2012-01-07;359.99100000000004;1;359.99100000000004
2012-01-08;799.98;2;399.99
2012-01-09;1039.974;3;346.65799999999996
2012-01-10;399.99;1;399.99
2012-01-11;399.99;1;399.99
2012-01-12;399.99;1;399.99
2012-01-13;1159.971;3;386.657
2012-01-14;399.99;1;399.99
2012-01-15;399.99;1;399.99
2012-01-16;399.99;1;399.99
2012-01-17;1119.972;3;373.324
2012-01-18;399.99;1;399.99
2012-01-19;719.982;2;359.991
2012-01-20;1559.961;4;389.99025
2012-01-21;1599.96;4;399.99
2012-01-23;1999.95;5;399.99
2012-01-24;399.99;1;399.99
2012-01-25;759.981;2;379.9905
2012-01-26;799.98;2;399.99
2012-01-27;1479.963;4;369.99075
2012-01-28;1199.97;3;399.99
2012-01-29;719.982;2;359.991
2012-01-30;359.99100000000004;1;359.99100000000004
2012-01-31;679.9830000000001;2;339.99150000000003
2012-02-01;1079.973;3;359.991
2012-02-02;319.992;1;319.992
2012-02-04;399.99;1;399.99
2012-02-06;799.98;2;399.99
2012-02-08;1199.97;3;399.99
2012-02-09;1119.972;3;373.324
2012-02-10;1159.971;3;386.657
2012-02-11;1159.971;3;386.657
2012-02-12;759.981;2;379.9905
2012-02-14;799.98;2;399.99
2012-02-16;319.992;1;319.992
2012-02-18;1159.971;3;386.657
2012-02-19;359.99100000000004;1;359.99100000000004
2012-02-20;1599.96;4;399.99
2012-02-21;799.98;2;399.99
2012-02-22;1199.97;3;399.99
2012-02-23;799.98;2;399.99
2012-02-24;399.99;1;399.99
2012-02-25;399.99;1;399.99
2012-02-26;359.99100000000004;1;359.99100000000004
2012-02-27;759.981;2;379.9905
2012-02-28;399.99;1;399.99
2012-03-01;1119.972;3;373.324
2012-03-02;799.98;2;399.99
2012-03-04;799.98;2;399.99
2012-03-06;759.981;2;379.9905
2012-03-07;399.99;1;399.99
2012-03-08;1519.962;4;379.9905
2012-03-09;1159.971;3;386.657
2012-03-10;399.99;1;399.99
2012-03-11;1519.962;4;379.9905
2012-03-12;1479.963;4;369.99075
2012-03-13;1119.9720000000002;3;373.32400000000007
2012-03-14;399.99;1;399.99
2012-03-15;1599.96;4;399.99
2012-03-16;1119.972;3;373.324
2012-03-17;799.98;2;399.99
2012-03-18;399.99;1;399.99
2012-03-19;1479.963;4;369.99075
2012-03-20;759.981;2;379.9905
2012-03-21;1879.953;5;375.9906
2012-03-22;1959.951;5;391.9902
2012-03-23;1199.97;3;399.99
2012-03-24;719.982;2;359.991
2012-03-25;2279.943;6;379.99050000000005
2012-03-26;319.992;1;319.992
2012-03-27;2319.942;6;386.657
2012-03-28;3159.9209999999994;8;394.9901249999999
2012-03-29;679.9830000000001;2;339.99150000000003
2012-03-30;1199.97;3;399.99
2012-03-31;679.9830000000001;2;339.99150000000003
2012-04-01;1159.971;3;386.657
2012-04-02;1159.971;3;386.657
2012-04-03;1559.961;4;389.99025
2012-04-04;1199.97;3;399.99
2012-04-05;719.982;2;359.991
2012-04-06;399.99;1;399.99
2012-04-07;1519.962;4;379.9905
2012-04-08;1599.96;4;399.99
2012-04-09;799.98;2;399.99
2012-04-10;399.99;1;399.99
2012-04-11;759.981;2;379.9905
2012-04-12;1519.962;4;379.9905
2012-04-13;359.99100000000004;1;359.99100000000004
2012-04-14;1079.973;3;359.991
2012-04-15;1479.963;4;369.99075
2012-04-16;1799.955;5;359.991
2012-04-17;719.982;2;359.991
2012-04-18;399.99;1;399.99
2012-04-19;1599.96;4;399.99
2012-04-20;399.99;1;399.99
2012-04-21;799.98;2;399.99
2012-04-22;1959.951;5;391.9902
2012-04-23;1159.971;3;386.657
2012-04-24;399.99;1;399.99
2012-04-25;1919.952;5;383.9904
2012-04-26;1999.95;5;399.99
2012-04-28;799.98;2;399.99
2012-04-29;359.99100000000004;1;359.99100000000004
2012-04-30;3359.916;9;373.324
2012-05-01;2639.934;7;377.1334285714286
2012-05-02;1159.971;3;386.657
2012-05-03;1559.961;4;389.99025
2012-05-04;2319.942;6;386.657
