"state";"city";"total_sales";"total_revenue";"unique_customers"
FL;Saint Petersburg;103;749304.1059999997;81
VA;Virginia Beach;83;749199.2929999998;55
NC;Raleigh;140;748878.7739999997;102
TX;Corpus Christi;126;738898.8989999997;91
OH;Toledo;134;732948.8149999996;92
NC;Greensboro;109;711844.0519999997;73
TX;Arlington;62;710019.4979999999;47
VA;Alexandria;89;709249.2279999997;63
NC;Winston Salem;96;692169.1579999997;62
CA;Stockton;83;689744.2729999995;59
NE;Omaha;165;683253.5279999996;116
NY;Bronx;110;681719.0389999996;65
WI;Green Bay;40;671089.7059999999;29
DE;Wilmington;65;651984.4859999998;47
CA;Long Beach;88;648489.2479999998;63
AK;Anchorage;93;647679.1939999997;67
OH;Cleveland;153;647043.6129999995;110
MS;Meridian;24;635989.8279999999;18
NE;Lincoln;119;627978.9819999998;81
CO;Boulder;58;626569.5359999997;43
MO;Springfield;34;625319.7349999998;28
AR;Little Rock;90;622354.2399999999;66
GA;Macon;70;606194.4219999998;55
FL;Boca Raton;65;603979.4469999999;45
IL;Peoria;105;583509.0709999995;81
GA;Lawrenceville;48;580359.6099999999;33
WA;Olympia;38;563714.7069999999;28
FL;Gainesville;56;563069.5349999998;37
NC;Fayetteville;43;561024.6659999997;28
VA;Norfolk;84;559574.2569999998;54
MI;Grand Rapids;97;557319.1169999996;62
CT;Waterbury;51;556619.5739999997;43
CA;San Bernardino;86;546044.2789999996;56
TX;Lubbock;113;545183.9999999998;80
LA;Lake Charles;48;541509.6049999999;34
CT;New Haven;71;537869.3779999997;53
TN;Chattanooga;86;526789.2349999998;60
MN;Young America;55;517269.5519999998;42
CO;Pueblo;53;517049.56199999974;39
SC;Charleston;57;512479.5219999997;40
CT;Stamford;50;505804.58999999985;41
TN;Knoxville;115;501543.95599999966;80
AZ;Mesa;57;498319.51999999984;38
NJ;Trenton;91;497244.19999999984;63
NC;Durham;55;491909.5469999999;41
FL;Melbourne;41;482484.66899999976;26
ID;Idaho Falls;37;474934.6969999999;26
NY;Syracuse;99;462359.11199999944;75
SC;Greenville;60;461679.4829999999;40
CA;Santa Monica;39;459309.6849999999;25
MI;Flint;52;455549.5699999998;37
CA;Santa Barbara;50;444019.5659999999;35
GA;Augusta;47;443844.58999999985;37
MA;Newton;38;438209.6849999999;28
NH;Portsmouth;37;428974.6979999999;26
PA;Lancaster;39;427789.6699999999;30
AL;Huntsville;70;427394.39899999974;52
FL;Naples;90;424499.19899999973;65
CA;Riverside;55;424099.5319999998;39
MA;Worcester;45;421174.62499999977;34
CA;Modesto;30;419709.7659999998;20
IN;South Bend;61;418179.48;44
CO;Aurora;63;411889.43699999986;44
OR;Salem;41;410164.6729999999;30
IN;Gary;12;407889.923;11
AK;Fairbanks;33;403759.71499999997;24
PA;Scranton;39;398544.6629999999;24
FL;Ocala;33;390939.71999999986;19
WA;Vancouver;58;382579.4909999999;34
CA;Bakersfield;84;378099.24899999966;57
MI;Saginaw;36;376009.70099999994;23
AR;Fort Smith;28;373804.7729999999;19
TX;San Angelo;19;368699.85699999996;15
OH;Canton;76;366494.3239999995;51
NY;Staten Island;40;364354.64699999976;28
GA;Columbus;61;362799.46199999977;45
MD;Silver Spring;61;358159.4559999999;42
GA;Savannah;58;354799.47999999986;45
TX;Abilene;43;353169.6299999998;30
VA;Sterling;16;351809.87599999993;13
FL;Zephyrhills;12;349729.91500000004;10
FL;West Palm Beach;65;349179.4259999998;48
TN;Kingsport;16;348549.898;12
LA;Shreveport;98;346799.10199999966;74
ND;Bismarck;18;341234.859;14
CA;Anaheim;53;339039.5319999999;40
TX;Garland;30;320754.74399999995;19
CA;Irvine;66;310334.41499999986;47
FL;Pompano Beach;57;310129.4999999999;43
NM;Santa Fe;26;307654.783;21
CA;Lancaster;31;306999.7429999999;21
CA;San Mateo;23;306959.81799999997;16
UT;Ogden;22;306249.826;14
DE;Newark;23;305279.8119999999;18
AR;Hot Springs National Park;21;297374.8389999999;14
CA;Orange;63;292539.4359999998;45
CA;Santa Cruz;16;292449.89199999993;12
IL;Carol Stream;34;291289.7189999999;24
FL;Port Charlotte;18;291269.8599999999;13
NY;Port Washington;27;289429.78299999994;20
TX;Tyler;33;288024.71699999983;24
LA;Monroe;41;285889.6369999998;28
GA;Decatur;32;283769.7329999998;19
KS;Kansas City;44;282479.61799999996;30
MO;Lees Summit;20;280834.848;16
TX;Pasadena;18;280009.85699999996;14
MA;Springfield;61;276349.4489999999;41
FL;Hollywood;43;275919.632;32
FL;Bradenton;43;274549.6319999999;35
AL;Tuscaloosa;46;274349.6159999999;29
FL;Tallahassee;65;271524.407;48
LA;Metairie;32;268819.7249999999;24
MN;Saint Cloud;49;266539.5649999998;33
IA;Waterloo;10;264189.94299999997;8
MI;Kalamazoo;37;264009.6789999999;29
MN;Duluth;27;262739.769;20
WA;Lakewood;24;261319.81;14
CA;Huntington Beach;25;260099.799;16
SD;Sioux Falls;80;258719.26799999978;59
SC;Spartanburg;39;257819.66399999996;29
FL;Lake Worth;30;256099.74199999994;21
PA;Mc Keesport;20;254664.84;15
MO;Columbia;45;253139.59399999987;31
IN;Terre Haute;31;250509.72800000006;23
CA;Garden Grove;36;245734.68099999998;25
OH;Youngstown;54;244364.50699999995;36
ID;Pocatello;14;244204.90299999996;10
CA;Van Nuys;45;243169.59399999995;33
CA;Oxnard;20;241894.83799999996;13
WV;Morgantown;15;241869.88599999997;10
FL;Daytona Beach;62;240459.42699999994;42
NY;White Plains;26;240019.77799999987;21
CO;Littleton;60;239699.45699999982;42
CA;Torrance;46;239349.60999999996;31
PA;Wilkes Barre;46;235189.58499999996;35
NV;Henderson;32;234859.73299999995;23
OR;Beaverton;28;232859.7519999999;17
MO;Saint Joseph;28;229469.75599999994;19
CA;Fullerton;33;229109.715;25
FL;Sarasota;55;224594.51400000002;40
NC;High Point;20;224019.83399999997;14
NJ;Paterson;61;223724.4499999998;42
MD;Gaithersburg;14;220804.89699999994;12
NV;North Las Vegas;43;218119.619;30
GA;Gainesville;17;217119.86599999995;13
FL;Winter Haven;18;215309.84399999998;11
PA;Levittown;25;215044.78900000005;16
CA;Simi Valley;14;213339.885;9
FL;Lehigh Acres;13;213039.89599999995;9
CA;Santa Ana;42;210174.63000000003;27
PA;Reading;22;208839.82599999994;19
CA;Palo Alto;18;208469.86699999997;13
IL;Decatur;12;207109.91299999994;10
CA;San Rafael;23;205479.80399999992;17
NY;Hicksville;16;203289.86399999997;11
PA;Johnstown;15;201609.88300000003;13
OH;Lima;18;200854.848;12
TX;Katy;17;199414.86;13
MS;Biloxi;26;198769.78500000003;19
FL;Hialeah;35;198309.68000000002;23
NM;Las Cruces;14;195359.88400000002;9
CO;Arvada;22;195329.81899999996;17
AR;North Little Rock;30;194389.73699999982;22
RI;Providence;29;194099.74700000006;21
TX;Temple;24;192319.78999999995;17
CT;Danbury;24;191579.799;14
MI;Midland;12;191149.91099999996;11
NC;Gastonia;16;191029.869;11
CT;Bridgeport;42;190059.62899999996;26
FL;Largo;24;189389.80000000002;19
NJ;New Brunswick;18;189359.84399999998;11
AZ;Scottsdale;32;187819.72599999997;26
NJ;Newark;71;187809.34100000001;50
VA;Portsmouth;15;187409.87199999994;10
TN;Johnson City;15;186929.87600000002;11
CO;Grand Junction;24;186489.78500000003;18
IN;Jeffersonville;13;186309.895;9
TX;College Station;11;185649.912;9
MI;Warren;18;185309.859;13
MS;Gulfport;21;185029.82899999997;16
ND;Fargo;32;184734.709;22
VA;Charlottesville;49;184229.56100000005;30
FL;Vero Beach;43;182754.61899999986;30
CA;Mountain View;29;181569.74199999994;21
FL;Brooksville;23;180604.81;18
CA;Northridge;24;179049.793;16
CA;Chico;18;177299.84699999998;13
AZ;Peoria;17;175169.85499999998;14
TX;Plano;14;173289.888;11
FL;Boynton Beach;25;172924.796;15
TX;Odessa;40;171489.63199999998;25
CA;Concord;28;168709.775;17
VA;Reston;23;165089.8;15
TX;Round Rock;21;164239.81999999995;15
MO;Independence;26;164239.76799999998;17
VA;Chesapeake;29;164049.745;19
MD;Hyattsville;14;163559.888;10
MD;Rockville;21;161289.81599999996;14
CA;Richmond;24;161219.7869999999;16
GA;Norcross;22;160509.80499999996;13
CA;Salinas;20;160179.82700000005;15
CA;Burbank;29;159504.742;21
IL;Bloomington;19;159469.83599999995;12
TX;Killeen;15;158099.87500000003;14
CA;Alhambra;17;157269.863;13
FL;Homestead;12;155449.90499999997;11
TX;Midland;32;154309.717;25
CA;Corona;35;153504.68299999996;26
MN;Maple Plain;37;152859.67899999997;26
NC;Asheville;24;152424.79599999997;17
NY;Elmira;20;152419.82799999998;15
NV;Carson City;37;152199.66599999988;25
KY;Frankfort;12;151449.907;9
MN;Monticello;46;147589.57699999996;32
VA;Hampton;41;147029.63299999994;36
PA;New Castle;18;146484.85199999996;11
CO;Englewood;15;145069.878;12
CT;Norwalk;46;143289.58499999996;34
CA;Glendale;25;142899.775;18
SC;Florence;15;141909.87799999997;10
CA;Pomona;22;141869.811;17
IL;Joliet;18;139464.84900000002;11
CA;Palmdale;12;139419.90700000004;8
TX;Longview;20;139374.82599999997;12
MO;Jefferson City;46;138019.56699999995;29
VA;Manassas;18;133439.849;13
IL;Palatine;29;133099.74299999996;18
NY;New Hyde Park;22;132009.80500000002;14
AZ;Apache Junction;15;130959.884;11
CA;Whittier;36;129784.67700000007;27
VA;Suffolk;25;128169.77100000005;17
CA;Santa Rosa;20;126964.82599999999;14
CA;Santa Clara;22;126089.80500000002;14
IL;Naperville;22;125809.80200000004;17
VT;Montpelier;11;124224.91500000001;9
VA;Springfield;18;124219.83499999999;14
VA;Herndon;19;124099.833;12
IN;Lafayette;19;123819.83300000001;13
MA;New Bedford;17;123569.85;12
SC;Anderson;18;123504.84000000003;11
NJ;Elizabeth;17;123309.853;13
PA;Valley Forge;15;123229.86500000003;11
MI;Muskegon;16;123129.85600000001;10
IN;Bloomington;16;122879.85700000002;13
FL;Port Saint Lucie;15;122409.865;12
MI;Battle Creek;14;122019.87700000001;10
TX;Mesquite;17;121519.867;14
FL;Punta Gorda;13;121449.88500000004;9
ND;Grand Forks;12;120979.89200000004;10
LA;Lafayette;34;120869.69100000004;26
FL;Saint Augustine;12;120069.89600000001;11
IN;Anderson;11;119969.90600000003;10
MD;Hagerstown;11;119909.90200000003;9
WA;Bellevue;18;119874.84900000002;15
FL;Palm Bay;10;119799.912;9
MI;Dearborn;16;119724.86300000001;12
TX;Wichita Falls;37;118674.664;27
MI;Farmington;12;117714.90500000003;9
VA;Merrifield;5;117099.962;5
FL;Fort Pierce;25;116259.77399999999;20
CA;South Lake Tahoe;29;115449.73800000004;17
TX;Spring;36;114359.67300000008;25
TX;Huntsville;21;113654.809;14
VA;Dulles;21;113634.80600000003;14
GA;Athens;34;112489.68100000006;26
CA;Ventura;17;111969.846;8
IL;East Saint Louis;15;110799.86200000002;12
MI;Southfield;19;108779.846;13
ME;Portland;19;106024.839;12
CA;Moreno Valley;20;105219.81700000004;16
TX;Texarkana;18;104709.85000000003;13
SC;Myrtle Beach;16;104629.86700000001;12
FL;Kissimmee;20;103279.83;13
FL;Cape Coral;16;100799.872;11
FL;Lakeland;30;100099.72100000008;23
MD;Laurel;16;99979.85500000003;12
GA;Marietta;23;98039.788;16
TX;Gatesville;21;96369.80700000003;13
WI;Appleton;15;95089.87500000003;10
CO;Greeley;19;95069.82300000003;13
GA;Cumming;16;94639.868;10
MN;Loretto;18;94169.83700000001;12
FL;Delray Beach;16;92959.854;12
IL;Champaign;14;92549.87700000001;11
IN;Crawfordsville;13;92499.88600000001;10
TN;Murfreesboro;13;92199.88200000001;7
AZ;Gilbert;13;91939.886;10
CO;Fort Collins;11;90359.905;7
IA;Davenport;44;88849.59999999999;31
VA;Newport News;42;87089.61000000002;31
MS;Hattiesburg;18;86894.83300000003;12
MA;Brockton;29;84179.73600000008;23
GA;Albany;13;83134.88400000003;11
MT;Billings;26;81899.75900000002;19
NC;Wilmington;28;80584.73800000001;19
NY;Schenectady;36;77959.66900000001;24
TX;Denton;24;77769.78400000004;20
UT;Sandy;23;77729.78700000004;18
MI;Troy;22;76999.814;14
FL;Pinellas Park;21;76369.80700000003;15
OK;Norman;17;75279.84200000005;12
PA;Bethlehem;13;75089.88700000002;11
GA;Duluth;31;74889.716;25
WA;Kent;17;74839.841;13
IA;Iowa City;17;74669.84800000003;10
MD;Frederick;17;74049.84800000001;12
CA;Hayward;17;73709.84900000003;13
AK;Juneau;15;72829.86700000003;10
LA;Alexandria;15;72809.86700000003;11
TX;Beaumont;26;71569.766;19
NY;Yonkers;12;70999.899;10
AL;Gadsden;11;70899.90200000002;8
MT;Bozeman;11;70789.906;6
CT;Fairfield;11;70744.90400000001;9
CA;Petaluma;11;70649.903;9
WA;Yakima;19;69129.82100000003;12
FL;North Port;19;68429.837;15
CA;Chula Vista;14;65339.87499999999;13
OH;Hamilton;6;61799.950999999994;5
TN;Jackson;14;58859.873999999996;10
FL;Bonita Springs;13;58689.88399999999;11
NJ;Jersey City;40;55779.62299999997;27
MD;Bethesda;41;52769.623999999996;27
NY;Flushing;27;49389.74999999996;16
CA;North Hollywood;32;46789.70599999997;23
TX;Irving;23;46439.791999999965;21
CA;Escondido;23;46369.788999999975;13
CA;Berkeley;33;45159.68999999998;24
CA;Redwood City;20;44919.820999999996;15
FL;Seminole;21;44839.81299999999;15
IL;Evanston;25;44479.76499999999;16
TX;Laredo;17;43899.84699999999;9
KY;London;16;43479.85699999999;11
MD;Bowie;16;42799.856;12
NH;Manchester;14;42429.87299999998;10
TX;Conroe;11;40529.903;9
MA;Waltham;11;40429.90299999999;10
MA;Woburn;10;39969.913;5
CT;West Hartford;22;39659.798999999985;18
NY;Mount Vernon;15;39189.86899999999;9
NY;Great Neck;21;37944.808999999994;14
CA;San Luis Obispo;9;35439.92699999999;5
VA;Fredericksburg;12;33349.895;10
IA;Sioux City;42;21704.601000000006;27
IL;Rockford;34;18074.671000000002;23
OR;Eugene;30;15289.708999999997;22
AZ;Glendale;25;13799.755999999996;19
FL;Panama City;24;12804.770999999997;20
MT;Helena;22;12379.787999999997;16
IL;Aurora;22;11909.789999999999;18
MA;Cambridge;23;11809.779999999997;17
VA;Lynchburg;21;11589.793999999998;18
CA;Sunnyvale;20;11279.801999999998;13
SC;Beaufort;22;11184.788999999999;16
CA;Oceanside;20;10799.806999999999;15
WA;Everett;19;10429.814999999999;13
IL;Schaumburg;19;10289.819999999998;17
CA;Carlsbad;19;10059.815999999999;13
CA;Brea;18;9709.835;14
VA;Ashburn;19;9699.821;13
MS;Columbus;18;9479.822999999999;14
CA;Newport Beach;18;8959.826;15
OH;Springfield;18;8909.830999999998;13
MN;Rochester;17;8889.839;11
OK;Edmond;17;8759.839999999998;11
NJ;Camden;17;8749.837;12
MD;Ridgely;18;8569.833;15
VA;Fairfax;16;8339.848;13
SC;Aiken;15;8019.854999999999;10
TX;Humble;14;7609.866999999999;10
IA;Cedar Rapids;15;7579.853999999998;13
UT;Provo;16;7569.851999999999;9
MT;Missoula;14;7459.8629999999985;13
TX;Galveston;14;7349.865999999998;10
NY;Utica;14;7319.866999999998;10
MA;Watertown;14;7259.87;12
MI;Ann Arbor;15;7074.855999999999;11
AZ;Tempe;14;6869.866999999999;13
GA;Alpharetta;12;6689.881999999999;8
PA;Allentown;13;6619.8769999999995;9
VA;Falls Church;13;6599.873999999999;9
MD;Annapolis;14;6529.865999999999;11
PA;York;13;6499.878999999999;11
VA;Vienna;12;6329.887;9
IN;Muncie;12;6329.882999999999;8
MA;Lynn;13;6259.873999999999;10
FL;Spring Hill;12;6249.883999999998;9
OH;Warren;11;6019.8949999999995;10
GA;Valdosta;11;5819.898;7
WY;Cheyenne;11;5499.891999999999;8
WI;Racine;11;5359.896;8
TX;Bryan;10;5229.905;8
AL;Anniston;10;5149.900999999999;9
OH;Mansfield;10;4829.907;8
NV;Sparks;8;4639.925;5
AZ;Chandler;9;4359.918000000001;7
CA;Visalia;7;3839.932999999999;4
AZ;Prescott;7;3629.933;5
FL;Miami Beach;5;2609.9530000000004;4
KY;Migrate;5;2549.9530000000004;5
